Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;RingPosition_x;RingPosition_y;RingPosition_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;PalmPosition_x;PalmPosition_y;PalmPosition_z;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;
10496;3.4382;-0.0053;1.1671;0.0721;24.9999;24.7129;10.6520;True;True;0.2293;0.9108;0.3395;334.0995;56.9659;33.0252;0.2066;0.8646;0.4122;0.1361;-0.1070;-0.0505;-164.7187;0.2250;0.8406;0.4086;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10500;3.4948;-0.0068;1.1667;0.0740;25.0515;24.7375;10.5632;True;True;0.2363;0.9034;0.3395;331.8057;56.4925;32.7644;0.2143;0.8584;0.4131;0.0560;-0.1536;0.0076;-164.1036;0.2335;0.8348;0.4103;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10504;3.5514;-0.0088;1.1661;0.0758;25.0965;24.7469;10.8392;True;True;0.2336;0.8945;0.3416;329.1404;55.8380;34.4765;0.2142;0.8488;0.4155;-0.1495;-0.1709;0.0902;-164.7063;0.2346;0.8262;0.4127;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10508;3.6058;-0.0113;1.1654;0.0781;24.9835;24.5407;10.8063;True;True;0.2274;0.8836;0.3491;330.5261;56.7443;34.1414;0.2079;0.8376;0.4228;-0.0803;-0.2148;0.1495;-164.9821;0.2278;0.8147;0.4196;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10512;3.6610;-0.0136;1.1645;0.0803;25.1040;24.2879;10.9112;True;True;0.2444;0.8589;0.3710;332.3132;54.9362;30.5047;0.2179;0.8163;0.4446;0.3973;-0.5307;0.4294;-161.3750;0.2365;0.7922;0.4432;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10516;3.7169;-0.0158;1.1637;0.0825;25.3812;24.2071;11.1567;True;True;0.2629;0.8471;0.3802;331.5199;45.2646;24.4280;0.2188;0.8121;0.4492;0.1576;0.0641;-0.0061;-151.5558;0.2358;0.7872;0.4537;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10520;3.7734;-0.0172;1.1629;0.0838;25.5775;24.4290;11.7413;True;True;0.2609;0.8567;0.3775;332.3029;42.6829;19.5888;0.2090;0.8275;0.4438;-0.0679;0.1602;-0.0522;-145.0307;0.2240;0.8018;0.4507;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10524;3.8283;-0.0177;1.1621;0.0844;25.6368;24.8921;12.0651;True;True;0.2613;0.8633;0.3740;335.5543;45.0280;16.6972;0.2086;0.8372;0.4409;0.0247;0.1669;-0.0828;-143.5820;0.2218;0.8105;0.4474;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10528;3.8842;-0.0181;1.1614;0.0849;25.6948;24.8723;12.2258;True;True;0.2635;0.8735;0.3703;337.0116;44.9239;15.6353;0.2094;0.8486;0.4366;0.0549;0.2154;-0.0637;-142.9961;0.2218;0.8215;0.4430;False;False;False;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;;False;
10532;3.9391;-0.0185;1.1608;0.0852;25.8595;24.4866;12.2932;True;True;0.2683;0.8882;0.3665;335.9574;43.1708;11.4112;0.2095;0.8694;0.4307;0.0498;0.3053;-0.0910;-140.4352;0.2205;0.8422;0.4395;True;False;False;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;f9e8b6d5-42ca-4495-8767-3127fee6a7d8;False;
